date,source,medium,campaign,cost,impressions,clicks,users,revenue
1/2/2024,(direct),paid,solution_marketing,$84.37,9343,8420,476,$890.61
1/4/2024,enterprisemarketingportal.google,(none),service_strategy,$46.82,4286,3453,145,$141.88
1/19/2024,momentum.com,social,service_strategy,$68.30,2301,1681,578,$324.07
1/26/2024,yandex.ru,(none),solution_data,$60.32,1968,1711,492,$526.54
1/12/2024,linkedin.com,(none),service_strategy,$12.13,7899,7511,288,$142.14
1/28/2024,brightedge--c.vf.force.com,referral,solution_data,$44.77,8994,8968,142,$411.90
1/29/2024,bing,social,service_strategy,$76.04,5338,5321,102,$750.01
1/14/2024,chrome_launch_switch,organic,christmas_cmp,$61.15,3561,2776,384,$696.34
1/25/2024,yandex.ru,social,(referral),$65.78,4956,4697,597,$322.12
1/14/2024,google,organic,chrome_launch_switch,$25.74,6525,5662,557,$951.67
1/23/2024,yandex.ru,organic,(direct),$43.48,1163,557,190,$814.23
1/7/2024,linkedin.com,paid,solution_marketing,$70.10,2067,1167,729,$453.29
1/7/2024,momentum.com,paid,(organic),$74.48,7523,7374,464,$847.23
1/21/2024,momentum.com,referral,service_strategy,$54.07,9554,8627,161,$932.10
1/9/2024,(direct),referral,chrome_launch_switch,$43.43,6898,5998,966,$515.07
1/22/2024,enterprisemarketingportal.google,paid,christmas_cmp,$63.34,9148,8560,251,$143.28
1/28/2024,(direct),paid,(organic),$22.94,1469,930,751,$894.58
1/17/2024,google,referral,service_strategy,$92.92,8949,8692,826,$484.55
1/5/2024,app.amplemarket.com,paid,chrome_launch_switch,$75.39,1206,1070,933,$266.59
1/9/2024,meta,(none),(direct),$58.74,2332,2211,183,$211.62
1/2/2024,enterprisemarketingportal.google,referral,service_strategy,$76.36,4276,3737,725,$594.96
1/8/2024,chrome_launch_switch,paid,(direct),$83.68,3090,2812,995,$159.15
1/16/2024,(direct),social,(referral),$91.87,4678,4381,248,$971.38
1/7/2024,(direct),organic,(direct),$22.95,2688,1702,562,$578.71
1/18/2024,google,paid,solution_data,$38.08,2521,1735,311,$815.13
1/20/2024,enterprisemarketingportal.google,referral,christmas_cmp,$83.87,7688,6750,978,$850.52
1/5/2024,(direct),organic,chrome_launch_switch,$41.10,3409,2716,467,$418.42
1/18/2024,yandex.ru,social,(referral),$21.14,8385,7440,602,$491.80
1/2/2024,chrome_launch_switch,referral,solution_data,$31.44,7473,6491,834,$470.75
1/11/2024,brightedge--c.vf.force.com,referral,(referral),$65.74,4541,4098,648,$976.67
1/15/2024,app.amplemarket.com,organic,solution_marketing,$75.78,3338,3044,243,$817.16
1/18/2024,(direct),(none),solution_marketing,$31.69,3687,2860,482,$460.43
1/18/2024,app.amplemarket.com,referral,(referral),$93.75,9762,9464,486,$216.14
1/12/2024,meta,referral,christmas_cmp,$52.96,7960,7049,925,$666.83
1/11/2024,bing,social,chrome_launch_switch,$81.66,6514,5741,600,$876.96
1/13/2024,momentum.com,organic,(organic),$84.08,9218,8469,566,$458.68
1/1/2024,boards.greenhouse.io,organic,(direct),$99.44,6595,5647,853,$987.73
1/11/2024,boards.greenhouse.io,social,solution_marketing,$95.74,5819,4826,838,$139.20
1/1/2024,enterprisemarketingportal.google,social,(direct),$86.21,7831,7023,603,$714.76
1/23/2024,(direct),paid,chrome_launch_switch,$66.53,4071,3812,971,$656.89
1/23/2024,brightedge--c.vf.force.com,(none),chrome_launch_switch,$25.25,9343,9014,351,$799.09
1/16/2024,yandex.ru,social,solution_marketing,$14.47,9109,8734,819,$890.72
1/10/2024,google,paid,chrome_launch_switch,$45.74,2948,2637,709,$816.39
1/27/2024,brightedge--c.vf.force.com,organic,(referral),$29.76,3953,3828,352,$858.82
1/14/2024,momentum.com,paid,solution_data,$75.24,8221,7255,668,$368.74
1/28/2024,linkedin.com,organic,christmas_cmp,$26.52,1432,1028,997,$583.48
1/12/2024,enterprisemarketingportal.google,referral,(direct),$50.71,7228,6801,326,$512.10
1/20/2024,bing,referral,(organic),$14.99,4802,3900,904,$697.03
1/7/2024,momentum.com,paid,christmas_cmp,$72.99,8467,7599,501,$465.23
1/2/2024,gdmsugar.gartner.com,paid,chrome_launch_switch,$20.05,4669,4255,227,$426.07
1/24/2024,linkedin.com,referral,solution_marketing,$99.97,1101,867,951,$142.83
1/5/2024,brightedge--c.vf.force.com,social,christmas_cmp,$80.92,7706,6979,434,$415.67
1/23/2024,brightedge--c.vf.force.com,social,(referral),$48.20,2576,2560,876,$343.00
1/19/2024,meta,paid,solution_marketing,$30.65,6729,6350,660,$534.27
1/1/2024,meta,paid,(organic),$93.98,9686,8844,761,$584.03
1/14/2024,chrome_launch_switch,social,solution_marketing,$75.25,2981,2626,491,$275.61
1/11/2024,(direct),social,(organic),$82.42,2278,2090,219,$515.46
1/10/2024,brightedge--c.vf.force.com,paid,chrome_launch_switch,$15.08,3673,3359,389,$244.06
1/4/2024,chrome_launch_switch,paid,solution_marketing,$96.47,9417,8848,327,$597.79
1/13/2024,chrome_launch_switch,social,(direct),$66.89,4988,4370,683,$791.91
1/24/2024,bing,social,christmas_cmp,$73.56,1378,713,792,$459.55
1/19/2024,google,referral,solution_data,$44.58,8443,8291,544,$725.45
1/2/2024,chrome_launch_switch,referral,service_strategy,$90.95,9781,9584,418,$321.30
1/22/2024,gdmsugar.gartner.com,paid,(referral),$17.77,6003,5040,591,$229.98
1/17/2024,linkedin.com,(none),chrome_launch_switch,$48.00,6654,6027,385,$117.45
1/28/2024,chrome_launch_switch,social,(direct),$51.02,6321,5477,486,$799.61
1/10/2024,linkedin.com,referral,(referral),$22.16,8571,8193,644,$533.10
1/14/2024,bing,social,service_strategy,$59.67,4608,4603,531,$805.74
1/27/2024,linkedin.com,social,(organic),$95.63,3555,3051,494,$964.81
1/19/2024,boards.greenhouse.io,organic,solution_data,$66.36,1096,921,309,$621.01
1/10/2024,linkedin.com,paid,(direct),$99.16,5754,4984,274,$461.69
1/13/2024,brightedge--c.vf.force.com,social,chrome_launch_switch,$36.04,1865,996,450,$966.24
1/22/2024,linkedin.com,social,solution_marketing,$37.78,1738,1731,150,$693.92
1/2/2024,boards.greenhouse.io,social,chrome_launch_switch,$94.45,9743,9012,221,$775.22
1/16/2024,linkedin.com,organic,(referral),$79.78,9199,8438,801,$906.61
1/6/2024,momentum.com,paid,(referral),$73.56,1450,727,907,$102.21
1/23/2024,boards.greenhouse.io,organic,chrome_launch_switch,$87.27,9482,9276,284,$172.25
1/9/2024,gdmsugar.gartner.com,social,solution_data,$33.52,1693,840,227,$284.37
1/9/2024,chrome_launch_switch,(none),solution_data,$87.21,6460,6036,874,$166.62
1/25/2024,meta,social,service_strategy,$61.37,6133,6122,491,$542.53
1/21/2024,(direct),social,solution_marketing,$78.61,1601,1087,197,$432.21
1/18/2024,meta,social,christmas_cmp,$90.92,5296,4875,444,$614.13
1/22/2024,linkedin.com,referral,christmas_cmp,$17.40,7231,7139,584,$410.37
1/5/2024,google,paid,solution_marketing,$84.10,3921,3475,924,$347.41
1/17/2024,gdmsugar.gartner.com,social,(organic),$68.19,6549,5910,831,$484.49
1/16/2024,chrome_launch_switch,social,chrome_launch_switch,$33.61,4706,4442,878,$240.80
1/12/2024,brightedge--c.vf.force.com,organic,chrome_launch_switch,$27.11,6329,5614,817,$308.94
1/22/2024,bing,organic,service_strategy,$84.70,7687,7390,356,$724.83
1/6/2024,linkedin.com,(none),solution_data,$26.51,1616,1435,202,$836.01
1/20/2024,enterprisemarketingportal.google,paid,solution_marketing,$63.29,8582,7797,800,$668.50
1/15/2024,google,paid,(referral),$30.46,7641,6923,149,$109.81
1/4/2024,chrome_launch_switch,referral,(organic),$56.07,4998,4617,576,$537.23
1/17/2024,meta,social,chrome_launch_switch,$71.81,2143,1488,694,$155.76
1/20/2024,brightedge--c.vf.force.com,social,(organic),$64.79,6046,5728,560,$166.17
1/25/2024,gdmsugar.gartner.com,referral,solution_data,$47.56,1832,917,715,$927.12
1/6/2024,yandex.ru,(none),(direct),$46.73,9898,9674,622,$837.83
1/21/2024,app.amplemarket.com,paid,christmas_cmp,$91.33,1925,1210,830,$207.51
1/2/2024,(direct),paid,(referral),$35.92,6757,5946,411,$998.74
1/1/2024,boards.greenhouse.io,(none),service_strategy,$55.86,2889,2652,598,$266.04
1/22/2024,yandex.ru,(none),(referral),$16.71,7025,6118,335,$105.75
1/7/2024,enterprisemarketingportal.google,organic,christmas_cmp,$74.72,3662,2865,473,$282.03
1/8/2024,enterprisemarketingportal.google,organic,(organic),$19.47,7415,7056,410,$607.66
1/3/2024,(direct),organic,solution_marketing,$13.91,5573,4636,873,$986.99
1/23/2024,bing,organic,solution_data,$95.21,3314,2321,489,$164.76
1/10/2024,brightedge--c.vf.force.com,(none),christmas_cmp,$68.26,9572,9197,883,$582.82
1/4/2024,chrome_launch_switch,social,christmas_cmp,$81.30,1563,602,692,$317.12
1/14/2024,bing,social,(direct),$47.66,8298,7366,260,$727.95
1/10/2024,linkedin.com,(none),(referral),$55.57,8144,7401,987,$588.22
1/5/2024,app.amplemarket.com,referral,christmas_cmp,$74.34,7314,6796,103,$793.33
1/18/2024,gdmsugar.gartner.com,paid,solution_marketing,$47.21,9570,9288,708,$182.18
1/25/2024,chrome_launch_switch,referral,solution_data,$57.66,1509,1321,558,$380.67
1/4/2024,brightedge--c.vf.force.com,referral,service_strategy,$77.74,8937,8159,626,$183.91
1/1/2024,momentum.com,referral,solution_marketing,$20.98,9624,9265,294,$670.74
1/19/2024,brightedge--c.vf.force.com,organic,service_strategy,$88.57,1565,1164,966,$890.96
1/11/2024,yandex.ru,social,solution_data,$57.25,1892,1077,765,$852.93
1/29/2024,google,organic,(direct),$68.09,1882,1803,329,$463.90
1/25/2024,linkedin.com,organic,service_strategy,$98.15,7701,7645,950,$315.34
1/5/2024,yandex.ru,organic,(referral),$20.15,8563,8136,110,$236.46
1/3/2024,app.amplemarket.com,referral,service_strategy,$94.76,3471,3051,331,$527.60
1/8/2024,app.amplemarket.com,(none),solution_marketing,$12.50,1516,1127,253,$219.10
1/13/2024,enterprisemarketingportal.google,organic,chrome_launch_switch,$35.65,7403,7339,535,$578.94
1/5/2024,gdmsugar.gartner.com,social,chrome_launch_switch,$72.95,4785,3816,961,$645.49
1/15/2024,gdmsugar.gartner.com,social,solution_data,$82.09,8863,8285,245,$673.43
1/7/2024,brightedge--c.vf.force.com,referral,(direct),$30.81,2620,2279,255,$768.05
1/1/2024,google,referral,(referral),$33.69,7759,6965,406,$154.83
1/14/2024,chrome_launch_switch,paid,christmas_cmp,$89.48,3022,2743,463,$692.99
1/26/2024,chrome_launch_switch,organic,service_strategy,$74.28,2091,1470,275,$974.03
1/2/2024,chrome_launch_switch,organic,solution_data,$24.54,5471,5309,628,$531.02
1/6/2024,enterprisemarketingportal.google,(none),christmas_cmp,$60.48,8955,8157,288,$443.71
1/7/2024,meta,(none),solution_marketing,$87.12,5653,4967,713,$697.06
1/27/2024,momentum.com,social,(organic),$83.91,6168,5195,844,$548.55
1/17/2024,yandex.ru,(none),(referral),$44.58,6990,6053,774,$587.65
1/19/2024,enterprisemarketingportal.google,(none),(organic),$92.87,6946,6920,777,$444.09
1/14/2024,meta,paid,service_strategy,$87.13,6601,5651,959,$510.03
1/9/2024,google,social,(referral),$65.65,6871,6782,321,$864.38
1/29/2024,bing,referral,(direct),$25.58,4130,3368,659,$830.82
1/29/2024,app.amplemarket.com,social,chrome_launch_switch,$98.62,3105,2491,134,$157.75
1/21/2024,boards.greenhouse.io,referral,(direct),$33.80,9056,8767,186,$629.68
1/12/2024,google,(none),(organic),$73.40,7483,6639,486,$860.90
1/7/2024,google,organic,service_strategy,$38.06,9250,8424,783,$441.56
1/27/2024,enterprisemarketingportal.google,(none),solution_data,$21.21,7354,6846,776,$506.10
1/1/2024,momentum.com,referral,(referral),$41.38,4648,3774,648,$853.69
1/25/2024,bing,referral,(organic),$81.07,9840,9447,745,$315.09
1/26/2024,gdmsugar.gartner.com,organic,chrome_launch_switch,$90.03,1525,676,578,$372.74
1/25/2024,brightedge--c.vf.force.com,(none),chrome_launch_switch,$81.02,4638,4635,826,$955.88
1/13/2024,enterprisemarketingportal.google,(none),service_strategy,$13.76,1162,684,169,$605.93
1/24/2024,enterprisemarketingportal.google,referral,service_strategy,$70.80,9017,8351,613,$261.87
1/8/2024,google,referral,christmas_cmp,$92.90,9861,9409,109,$708.80
1/7/2024,chrome_launch_switch,organic,(direct),$82.57,8770,8594,240,$901.84
1/20/2024,enterprisemarketingportal.google,social,solution_data,$69.96,6656,6082,721,$434.53
1/8/2024,bing,social,chrome_launch_switch,$99.52,3395,3042,344,$878.37
1/5/2024,brightedge--c.vf.force.com,(none),(organic),$19.14,4317,4192,760,$380.55
1/27/2024,bing,(none),(referral),$90.13,8751,7938,645,$142.23
1/2/2024,boards.greenhouse.io,social,(direct),$48.08,4021,3064,551,$200.63
1/28/2024,meta,referral,christmas_cmp,$61.58,5050,5025,257,$277.67
1/12/2024,yandex.ru,paid,christmas_cmp,$24.98,7942,7173,246,$409.40
1/5/2024,chrome_launch_switch,organic,(direct),$69.25,5566,5474,859,$711.06
1/16/2024,chrome_launch_switch,organic,(organic),$48.38,5299,5142,658,$951.24
1/5/2024,yandex.ru,organic,chrome_launch_switch,$67.39,9365,9083,911,$967.50
1/17/2024,gdmsugar.gartner.com,social,service_strategy,$80.84,9777,9054,352,$391.19
1/10/2024,google,organic,(organic),$10.78,4589,4213,241,$938.00
1/12/2024,gdmsugar.gartner.com,(none),chrome_launch_switch,$77.18,3424,3065,332,$269.72
1/12/2024,bing,(none),service_strategy,$66.44,9506,9395,129,$534.88
1/15/2024,boards.greenhouse.io,organic,solution_marketing,$32.63,3263,3132,194,$838.26
1/9/2024,momentum.com,referral,chrome_launch_switch,$67.19,9575,8864,479,$352.53
1/4/2024,enterprisemarketingportal.google,social,solution_data,$46.43,2606,1893,387,$344.10
1/18/2024,momentum.com,(none),christmas_cmp,$90.68,3730,3302,176,$567.75
1/28/2024,bing,paid,christmas_cmp,$44.61,7336,6802,676,$358.89
1/29/2024,app.amplemarket.com,(none),(direct),$69.36,3273,2875,971,$942.05
1/17/2024,google,(none),(organic),$93.47,9943,9690,773,$748.09
1/28/2024,(direct),paid,chrome_launch_switch,$91.17,9201,8325,950,$496.30
1/5/2024,google,(none),service_strategy,$14.54,6774,6524,532,$999.33
1/25/2024,chrome_launch_switch,social,(organic),$88.41,2247,1438,202,$826.24
1/27/2024,meta,referral,chrome_launch_switch,$15.11,7682,7449,572,$740.02
1/6/2024,yandex.ru,social,(referral),$11.46,7075,6505,955,$748.51
1/16/2024,brightedge--c.vf.force.com,social,(direct),$19.57,8232,8076,252,$725.44
1/6/2024,gdmsugar.gartner.com,referral,(organic),$60.94,2307,1953,822,$346.43
1/13/2024,chrome_launch_switch,paid,(organic),$48.58,5375,5267,187,$551.05
1/27/2024,app.amplemarket.com,referral,solution_data,$28.74,2428,1577,504,$163.37
1/13/2024,meta,(none),service_strategy,$70.08,3806,3126,855,$184.86
1/1/2024,momentum.com,(none),(organic),$43.33,1793,813,622,$107.63
1/8/2024,yandex.ru,paid,(referral),$89.69,4697,4354,503,$155.23
1/1/2024,app.amplemarket.com,(none),(direct),$86.75,1706,1250,943,$804.48
1/3/2024,linkedin.com,paid,solution_marketing,$34.13,4625,4543,563,$459.60
1/27/2024,brightedge--c.vf.force.com,referral,chrome_launch_switch,$81.30,7856,7062,846,$646.99
1/18/2024,google,referral,(direct),$14.37,7378,6580,264,$559.72
1/11/2024,app.amplemarket.com,organic,service_strategy,$85.38,5169,4939,246,$263.57
1/22/2024,linkedin.com,social,service_strategy,$98.30,3655,2924,464,$428.08
1/16/2024,(direct),referral,(direct),$18.44,1405,885,415,$362.33
1/8/2024,enterprisemarketingportal.google,(none),(direct),$98.80,8848,8191,155,$743.89
1/9/2024,app.amplemarket.com,referral,chrome_launch_switch,$79.62,5041,4363,519,$281.71
1/10/2024,yandex.ru,social,(direct),$68.74,7951,7168,884,$577.35
1/9/2024,linkedin.com,(none),christmas_cmp,$37.70,5287,4741,292,$907.49
1/11/2024,meta,referral,(direct),$63.45,6354,6049,755,$789.67
1/3/2024,momentum.com,(none),christmas_cmp,$71.73,9607,8750,404,$197.09
1/11/2024,app.amplemarket.com,paid,(organic),$48.14,3269,2544,599,$709.41
1/29/2024,linkedin.com,referral,(direct),$86.11,8164,7449,730,$199.24
1/23/2024,linkedin.com,paid,(direct),$87.59,7312,7214,590,$854.48
1/14/2024,brightedge--c.vf.force.com,(none),solution_data,$66.77,6184,5832,312,$181.22
1/29/2024,gdmsugar.gartner.com,organic,service_strategy,$82.19,8423,7575,734,$654.93
1/23/2024,bing,social,service_strategy,$96.00,1235,756,220,$972.04
1/24/2024,gdmsugar.gartner.com,(none),solution_data,$27.08,3437,2925,653,$649.20
1/15/2024,linkedin.com,referral,(organic),$61.18,8058,8031,109,$211.01
1/29/2024,(direct),referral,solution_data,$72.79,4511,4290,259,$484.46
1/7/2024,(direct),paid,solution_marketing,$87.41,2870,2634,845,$355.92
1/5/2024,boards.greenhouse.io,organic,christmas_cmp,$91.12,5722,5325,392,$243.59
1/19/2024,chrome_launch_switch,paid,solution_marketing,$13.74,2558,1566,109,$805.50
1/6/2024,app.amplemarket.com,social,solution_marketing,$14.76,6973,6177,931,$948.58
1/27/2024,meta,organic,solution_marketing,$51.56,4396,4350,170,$113.05
1/2/2024,app.amplemarket.com,(none),(referral),$15.05,9426,9153,732,$624.67
1/13/2024,gdmsugar.gartner.com,referral,christmas_cmp,$41.18,9658,9347,255,$271.29
1/5/2024,momentum.com,referral,solution_data,$18.85,9686,8740,870,$930.97
1/14/2024,gdmsugar.gartner.com,referral,(referral),$73.84,5715,5298,118,$716.45
1/17/2024,(direct),referral,service_strategy,$81.90,7033,6296,209,$205.52
1/1/2024,yandex.ru,organic,christmas_cmp,$35.34,3834,3760,328,$286.38
1/3/2024,(direct),(none),(direct),$91.10,6969,6145,797,$515.27
1/26/2024,meta,referral,christmas_cmp,$69.92,4626,3978,342,$395.59
1/1/2024,bing,social,christmas_cmp,$67.31,6391,6327,417,$390.25
1/13/2024,(direct),referral,solution_data,$86.03,5050,4990,879,$590.97
1/27/2024,brightedge--c.vf.force.com,social,(direct),$71.45,5624,5214,964,$527.01
1/26/2024,momentum.com,(none),service_strategy,$54.87,2611,2125,677,$767.23
1/5/2024,boards.greenhouse.io,referral,christmas_cmp,$44.11,8869,8450,361,$121.76
1/22/2024,momentum.com,referral,(direct),$65.73,9053,8257,152,$655.10
1/12/2024,enterprisemarketingportal.google,referral,(referral),$94.32,5671,5592,214,$728.92
1/29/2024,app.amplemarket.com,paid,solution_data,$81.47,9845,9796,454,$748.76
1/5/2024,enterprisemarketingportal.google,(none),service_strategy,$95.95,5069,4617,702,$573.47
1/6/2024,boards.greenhouse.io,(none),solution_marketing,$90.94,7291,6520,765,$918.44
1/6/2024,linkedin.com,(none),(organic),$84.23,5706,5344,631,$817.38
1/7/2024,brightedge--c.vf.force.com,social,chrome_launch_switch,$92.93,6495,6148,852,$664.79
1/25/2024,chrome_launch_switch,(none),(organic),$44.35,9572,9413,350,$729.87
1/20/2024,meta,referral,(organic),$50.36,3129,2766,964,$292.25
1/3/2024,boards.greenhouse.io,(none),(organic),$42.43,1802,1247,321,$194.66
1/9/2024,brightedge--c.vf.force.com,paid,christmas_cmp,$73.26,4798,4105,782,$115.83
1/22/2024,boards.greenhouse.io,social,(organic),$72.22,3774,3364,142,$626.52
1/27/2024,app.amplemarket.com,social,solution_data,$71.19,9047,8579,982,$980.19
1/29/2024,enterprisemarketingportal.google,(none),christmas_cmp,$49.48,1793,1120,126,$275.39
1/6/2024,app.amplemarket.com,paid,(referral),$16.30,3192,2610,772,$645.74
1/15/2024,meta,(none),(organic),$67.53,1055,93,631,$488.89
1/2/2024,(direct),organic,(direct),$39.53,6616,5851,586,$867.63
1/6/2024,boards.greenhouse.io,organic,chrome_launch_switch,$93.67,7097,6212,645,$805.66
1/28/2024,bing,referral,christmas_cmp,$80.33,5939,5546,112,$803.66
1/10/2024,linkedin.com,paid,(referral),$14.75,3039,2333,469,$534.18
1/17/2024,yandex.ru,social,(referral),$82.59,9197,8990,446,$346.55
1/6/2024,linkedin.com,social,(referral),$73.58,6953,6802,297,$825.92
1/5/2024,momentum.com,paid,(referral),$35.89,7923,7319,837,$636.81
1/12/2024,gdmsugar.gartner.com,paid,service_strategy,$59.21,3352,2934,701,$460.02
1/14/2024,yandex.ru,organic,christmas_cmp,$44.84,7904,6981,416,$332.45
1/18/2024,momentum.com,referral,(organic),$79.21,8442,7933,948,$153.38
1/18/2024,(direct),organic,christmas_cmp,$96.43,7510,7012,711,$824.46
1/20/2024,momentum.com,organic,christmas_cmp,$49.17,6587,6193,694,$378.01
1/10/2024,chrome_launch_switch,organic,(direct),$60.03,5436,4750,663,$123.72
1/1/2024,google,organic,service_strategy,$74.47,7877,7680,398,$887.51
1/14/2024,(direct),(none),(organic),$72.56,1939,1090,649,$838.50
1/20/2024,momentum.com,paid,(organic),$55.76,6999,6135,507,$315.94
1/4/2024,bing,organic,(direct),$44.50,1331,1241,591,$599.18
1/16/2024,brightedge--c.vf.force.com,paid,service_strategy,$32.69,8849,8120,685,$823.11
1/21/2024,momentum.com,paid,christmas_cmp,$24.07,2931,2237,406,$890.69
